PERIODO;AMBITO;GERENCIA;TRAMOS_EDAD;SEXO;TIPO;ORD_CAT;GRUPO;CAT;ESPECIALIDAD;REGIMEN;VINCULACION;AÑO_FORM;TOTAL_EFECTIVOS;DESTINO ACTIVIDAD;TIPO_ESPECIALDAD;CENTRO_GESTOR
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. PROFESIONAL;62;C1;T.S. LABORATORIO;;ESTATUTARIO;RESTO DE INTERINOS;;1;EFECTIVOS EN HOSPITALES TRADICIONALES;;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. PROFESIONAL;64;C1;T.S. IMAGEN PARA EL DIAGNOSTICO Y MEDICINA NUCLEAR;;ESTATUTARIO;FIJO;;2;EFECTIVOS EN HOSPITALES TRADICIONALES;;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. PROFESIONAL;64;C1;T.S. IMAGEN PARA EL DIAGNOSTICO Y MEDICINA NUCLEAR;;ESTATUTARIO;INTERINO POR VACANTE;;16;EFECTIVOS EN HOSPITALES TRADICIONALES;;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. PROFESIONAL;64;C1;T.S. IMAGEN PARA EL DIAGNOSTICO Y MEDICINA NUCLEAR;;ESTATUTARIO;RESTO DE INTERINOS;;3;EFECTIVOS EN HOSPITALES TRADICIONALES;;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. PROFESIONAL;65;C1;T.S. RADIOTERAPIA Y DOSIMETRIA;;ESTATUTARIO;INTERINO POR VACANTE;;2;EFECTIVOS EN HOSPITALES TRADICIONALES;;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. PROFESIONAL;65;C1;T.S. RADIOTERAPIA Y DOSIMETRIA;;ESTATUTARIO;RESTO DE INTERINOS;;3;EFECTIVOS EN HOSPITALES TRADICIONALES;;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. PROFESIONAL;70;C2;T.C.A.E.;;ESTATUTARIO;FIJO;;2;EFECTIVOS EN HOSPITALES TRADICIONALES;;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. PROFESIONAL;70;C2;T.C.A.E.;;ESTATUTARIO;INTERINO POR VACANTE;;49;EFECTIVOS EN HOSPITALES TRADICIONALES;;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. PROFESIONAL;70;C2;T.C.A.E.;;ESTATUTARIO;RESTO DE INTERINOS;;4;EFECTIVOS EN HOSPITALES TRADICIONALES;;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. PROFESIONAL;70;C2;T.C.A.E.;;ESTATUTARIO;RESTO DE INTERINOS;;2;EFECTIVOS EN HOSPITAL ZENDAL;;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. PROFESIONAL;72;C2;TECNICO MEDIO SANITARIO EN FARMACIA;;ESTATUTARIO;INTERINO POR VACANTE;;3;EFECTIVOS EN HOSPITALES TRADICIONALES;;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;ANALISIS CLINICOS;ESTATUTARIO;INTERINO POR VACANTE;;2;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA DE SERV. CENTRALES;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;ANATOMIA PATOLOGICA;ESTATUTARIO;INTERINO POR VACANTE;;1;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA DE SERV. CENTRALES;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;ANESTESIOLOGIA Y REANIMACION;ESTATUTARIO;FIJO;;1;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA DE SERV. CENTRALES;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;ANESTESIOLOGIA Y REANIMACION;ESTATUTARIO;INTERINO POR VACANTE;;4;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA DE SERV. CENTRALES;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;ANESTESIOLOGIA Y REANIMACION;ESTATUTARIO;RESTO DE INTERINOS;;1;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA DE SERV. CENTRALES;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;FARMACIA HOSPITALARIA;ESTATUTARIO;INTERINO POR VACANTE;;2;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA DE SERV. CENTRALES;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;HEMATOLOGIA Y HEMOTERAPIA;ESTATUTARIO;FIJO;;1;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA DE SERV. CENTRALES;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;HEMATOLOGIA Y HEMOTERAPIA;ESTATUTARIO;INTERINO POR VACANTE;;1;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA DE SERV. CENTRALES;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;MEDICINA FISICA Y REHABILITACION;ESTATUTARIO;INTERINO POR VACANTE;;1;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA DE SERV. CENTRALES;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;MEDICINA NUCLEAR;ESTATUTARIO;FIJO;;1;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA DE SERV. CENTRALES;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;MEDICINA NUCLEAR;ESTATUTARIO;RESTO DE INTERINOS;;1;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA DE SERV. CENTRALES;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;MICROBIOLOGIA Y PARASITOLOGIA;ESTATUTARIO;INTERINO POR VACANTE;;4;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA DE SERV. CENTRALES;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;ONCOLOGIA RADIOTERAPICA;ESTATUTARIO;INTERINO POR VACANTE;;1;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA DE SERV. CENTRALES;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;RADIODIAGNOSTICO;ESTATUTARIO;INTERINO POR VACANTE;;4;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA DE SERV. CENTRALES;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;RADIODIAGNOSTICO;ESTATUTARIO;RESTO DE INTERINOS;;3;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA DE SERV. CENTRALES;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;RADIOFISICA HOSPITALARIA;ESTATUTARIO;INTERINO POR VACANTE;;1;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA DE SERV. CENTRALES;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;APARATO DIGESTIVO;ESTATUTARIO;INTERINO POR VACANTE;;5;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA MEDICA;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;CARDIOLOGIA;ESTATUTARIO;FIJO;;1;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA MEDICA;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;CARDIOLOGIA;ESTATUTARIO;INTERINO POR VACANTE;;3;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA MEDICA;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;CARDIOLOGIA;ESTATUTARIO;RESTO DE INTERINOS;;1;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA MEDICA;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;DERMATOLOGIA MEDICO-QUIRURGICA Y VENEREOLOGIA;ESTATUTARIO;INTERINO POR VACANTE;;1;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA MEDICA;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;ENDOCRINOLOGIA Y NUTRICION;ESTATUTARIO;INTERINO POR VACANTE;;1;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA MEDICA;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;MEDICINA DEL TRABAJO;ESTATUTARIO;INTERINO POR VACANTE;;1;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA MEDICA;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;MEDICINA INTENSIVA;ESTATUTARIO;INTERINO POR VACANTE;;2;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA MEDICA;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;MEDICINA INTENSIVA;ESTATUTARIO;RESTO DE INTERINOS;;1;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA MEDICA;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;MEDICINA INTERNA;ESTATUTARIO;FIJO;;1;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA MEDICA;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;MEDICINA INTERNA;ESTATUTARIO;INTERINO POR VACANTE;;3;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA MEDICA;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;NEUMOLOGIA;ESTATUTARIO;INTERINO POR VACANTE;;3;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA MEDICA;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;NEUROLOGIA;ESTATUTARIO;INTERINO POR VACANTE;;7;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA MEDICA;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;ONCOLOGIA MEDICA;ESTATUTARIO;FIJO;;1;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA MEDICA;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;ONCOLOGIA MEDICA;ESTATUTARIO;INTERINO POR VACANTE;;1;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA MEDICA;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;PEDIATRIA Y SUS AREAS ESPECIFICAS;ESTATUTARIO;INTERINO POR VACANTE;;6;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA MEDICA;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;PEDIATRIA Y SUS AREAS ESPECIFICAS;ESTATUTARIO;RESTO DE INTERINOS;;1;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA MEDICA;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;PSICOLOGIA CLINICA;ESTATUTARIO;FIJO;;1;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA MEDICA;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;PSICOLOGIA CLINICA;ESTATUTARIO;INTERINO POR VACANTE;;5;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA MEDICA;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;PSICOLOGIA CLINICA;ESTATUTARIO;RESTO DE INTERINOS;;1;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA MEDICA;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;PSIQUIATRIA;ESTATUTARIO;INTERINO POR VACANTE;;4;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA MEDICA;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;PSIQUIATRIA;ESTATUTARIO;RESTO DE INTERINOS;;2;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA MEDICA;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;CIRUGIA CARDIOVASCULAR;ESTATUTARIO;INTERINO POR VACANTE;;1;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA QUIRURGICA;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;CIRUGIA GENERAL Y DEL APARATO DIGESTIVO;ESTATUTARIO;INTERINO POR VACANTE;;3;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA QUIRURGICA;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;CIRUGIA ORAL Y MAXILOFACIAL;ESTATUTARIO;INTERINO POR VACANTE;;2;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA QUIRURGICA;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;CIRUGIA ORTOPEDICA Y TRAUMATOLOGIA;ESTATUTARIO;FIJO;;1;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA QUIRURGICA;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;CIRUGIA ORTOPEDICA Y TRAUMATOLOGIA;ESTATUTARIO;INTERINO POR VACANTE;;7;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA QUIRURGICA;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;CIRUGIA ORTOPEDICA Y TRAUMATOLOGIA;ESTATUTARIO;RESTO DE INTERINOS;;2;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA QUIRURGICA;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;CIRUGIA PEDIATRICA;ESTATUTARIO;INTERINO POR VACANTE;;1;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA QUIRURGICA;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;CIRUGIA PLASTICA, ESTETICA Y REPARADORA;ESTATUTARIO;INTERINO POR VACANTE;;2;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA QUIRURGICA;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;NEUROCIRUGIA;ESTATUTARIO;INTERINO POR VACANTE;;3;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA QUIRURGICA;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;NEUROCIRUGIA;ESTATUTARIO;RESTO DE INTERINOS;;1;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA QUIRURGICA;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;OBSTETRICIA Y GINECOLOGIA;ESTATUTARIO;INTERINO POR VACANTE;;3;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA QUIRURGICA;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. UNIVERSITARIA;1;A1;FACULTATIVO ESPECIALISTA;OBSTETRICIA Y GINECOLOGIA;ESTATUTARIO;RESTO DE INTERINOS;;2;EFECTIVOS EN HOSPITALES TRADICIONALES;AREA QUIRURGICA;171188201
