Sexo;Edad;Nacionalidad;Fecha de alta;Fecha de baja;Situación laboral;Nivel académico;Distrito;Barrio;Número
Mujer;25-34;ESPAÑOLA;10/03/2017;-;Estudiando;103-N Ciclo Formativo Grado Medio;VILLAVERDE;VILLAVERDE ALTO C.H.;1
Mujer;68-77;ESPAÑOLA;18/09/2012;-;Jubilado/a;06-A Módulo Profesional;FUENCARRAL-EL PARDO;PEÑA GRANDE;1
Mujer;54-63;ESPAÑOLA;12/05/2011;30/06/2021;Trabajando;08-A Licenciado Universitario;PUENTE DE VALLECAS;NUMANCIA;1
Mujer;38-47;ESPAÑOLA;15/09/2011;-;Trabajando;04-A FP;VILLAVERDE;LOS ANGELES;1
Mujer;51-60;ESPAÑOLA;18/02/2005;-;Trabajando;08-A Licenciado Universitario;CHAMARTIN;PROSPERIDAD;1
Mujer;29-38;ESPAÑOLA;17/06/2019;-;Trabajando;07-A Diplomado Universitario;CIUDAD LINEAL;QUINTANA;1
Mujer;67-76;ESPAÑOLA;24/09/2007;30/11/2020;Otra situación;07-A Diplomado Universitario;CIUDAD LINEAL;CONCEPCION;1
Mujer;74-83;ESPAÑOLA;07/11/2013;-;Estudiando;200-N NS/NC;CENTRO;PALACIO;1
Varón;43-52;ESPAÑOLA;15/11/2012;-;Desempleado/a;08-A Licenciado Universitario;CIUDAD LINEAL;VENTAS;1
Mujer;32-41;COLOMBIANA;03/11/2020;-;Desempleado/a;04-A FP;USERA;PRADOLONGO;1
Mujer;67-76;ESPAÑOLA;26/04/2004;-;Desempleado/a;03-A BUP/Bachillerato;CHAMARTIN;HISPANOAMERICA;1
Mujer;73-82;ESPAÑOLA;23/12/2013;28/02/2022;-;200-N NS/NC;ARGANZUELA;ACACIAS;1
Mujer;56-65;ESPAÑOLA;18/09/2007;-;Trabajando;200-N NS/NC;CARABANCHEL;BUENAVISTA;1
Mujer;21-30;COLOMBIANA;02/09/2021;-;Desempleado/a;03-A BUP/Bachillerato;LATINA;LAS AGUILAS;1
Mujer;77-86;ESPAÑOLA;06/05/2015;-;Jubilado/a;02-A EGB/Graduado Escolar;PUENTE DE VALLECAS;PALOMERAS BAJAS;1
Mujer;70-79;ESPAÑOLA;08/03/2022;-;-;-;SALAMANCA;FUENTE DEL BERRO;1
Varón;57-66;ESPAÑOLA;14/03/2017;-;Desempleado/a;104-N Ciclo Formativo Grado Superior;SAN BLAS - CANILLEJAS;ROSAS;1
Varón;26-35;UCRANIANA;23/04/2013;-;Estudiando;200-N NS/NC;VILLAVERDE;VILLAVERDE ALTO C.H.;1
Mujer;56-65;ESPAÑOLA;02/04/2009;30/09/2020;Trabajando;04-A FP;CIUDAD LINEAL;CONCEPCION;1
Mujer;57-66;VENEZOLANA;04/06/2019;22/03/2023;-;-;VILLAVERDE;LOS ROSALES;1
Varón;49-58;ESPAÑOLA;22/02/2022;-;Trabajando;04-A FP;RETIRO;ADELFAS;1
Mujer;29-38;ESPAÑOLA;15/03/2023;-;Trabajando;-;CHAMARTIN;PROSPERIDAD;1
Mujer;25-34;ESPAÑOLA;11/05/2016;-;Estudiando;05-A COU;CARABANCHEL;OPAÑEL;1
Mujer;69-78;ESPAÑOLA;31/10/2012;-;Desempleado/a;08-A Licenciado Universitario;SALAMANCA;GUINDALERA;1
Varón;48-57;MARROQUÍ;01/11/2011;-;Trabajando;200-N NS/NC;CARABANCHEL;SAN ISIDRO;1
Varón;49-58;ESPAÑOLA;30/11/2022;-;Trabajando;06-A Módulo Profesional;VILLAVERDE;VILLAVERDE ALTO C.H.;1
Varón;76-85;ESPAÑOLA;31/01/2012;-;Jubilado/a;200-N NS/NC;ARGANZUELA;ACACIAS;1
Mujer;51-60;ESPAÑOLA;14/06/2004;31/07/2020;-;07-A Diplomado Universitario;RETIRO;IBIZA;1
Mujer;55-64;ESPAÑOLA;16/06/2008;-;Trabajando;04-A FP;PUENTE DE VALLECAS;PALOMERAS BAJAS;1
Varón;78-87;ESPAÑOLA;05/09/2013;-;Jubilado/a;200-N NS/NC;CIUDAD LINEAL;PUEBLO NUEVO;1
Varón;33-42;ESPAÑOLA;10/09/2013;-;Trabajando;06-A Módulo Profesional;CHAMARTIN;PROSPERIDAD;1
Mujer;74-83;ESPAÑOLA;23/11/2022;-;-;-;VICALVARO;VALDEBERNARDO;1
Mujer;32-41;ESPAÑOLA;23/03/2011;-;Estudiando;102-N Bachillerato;OTROS;OTROS;1
Mujer;70-79;ESPAÑOLA;01/03/2022;-;-;-;VILLA DE VALLECAS;CASCO H.VALLECAS;1
Varón;52-61;ESPAÑOLA;18/08/2011;-;Trabajando;200-N NS/NC;SAN BLAS - CANILLEJAS;ROSAS;1
Varón;28-37;ESPAÑOLA;05/11/2020;-;Estudiando;04-A FP;CHAMARTIN;PROSPERIDAD;1
Mujer;46-55;ESPAÑOLA;01/10/2009;-;Trabajando;200-N NS/NC;ARGANZUELA;IMPERIAL;1
Mujer;37-46;ESPAÑOLA;28/12/2018;-;Trabajando;08-A Licenciado Universitario;LATINA;LUCERO;1
Mujer;>90;ESPAÑOLA;17/11/2014;-;-;200-N NS/NC;PUENTE DE VALLECAS;PALOMERAS BAJAS;1
Mujer;50-59;ESPAÑOLA;18/06/2019;-;Desempleado/a;03-A BUP/Bachillerato;CHAMARTIN;PROSPERIDAD;1
Mujer;36-45;VENEZOLANA;13/10/2021;-;Trabajando;106-N Licenciado Universitario;SALAMANCA;GOYA;1
Varón;62-71;ESPAÑOLA;11/04/2005;-;Desempleado/a;04-A FP;LATINA;LUCERO;1
Mujer;45-54;ESPAÑOLA;06/07/2009;28/12/2018;Trabajando;08-A Licenciado Universitario;SALAMANCA;GUINDALERA;1
Mujer;21-30;ESPAÑOLA;18/07/2022;-;Estudiando;03-A BUP/Bachillerato;LATINA;ALUCHE;1
Mujer;79-88;ESPAÑOLA;14/11/2016;-;-;200-N NS/NC;CHAMBERI;ARAPILES;1
Mujer;78-87;ESPAÑOLA;15/09/2011;22/03/2023;-;200-N NS/NC;MONCLOA-ARAVACA;CASA DE CAMPO;1
Varón;88-97;ESPAÑOLA;18/06/2019;-;Jubilado/a;-;CHAMBERI;VALLEHERMOSO;1
Varón;73-82;ESPAÑOLA;28/10/2019;-;Jubilado/a;-;CIUDAD LINEAL;COSTILLARES;1
Mujer;79-88;ESPAÑOLA;11/03/2016;-;-;200-N NS/NC;SALAMANCA;GUINDALERA;1
Mujer;29-38;ESPAÑOLA;09/01/2020;-;Trabajando;08-A Licenciado Universitario;ARGANZUELA;CHOPERA;1
Varón;69-78;ESPAÑOLA;18/06/2009;-;Jubilado/a;200-N NS/NC;CIUDAD LINEAL;CONCEPCION;1
Mujer;61-70;ESPAÑOLA;24/09/2019;-;Desempleado/a;08-A Licenciado Universitario;BARAJAS;CORRALEJOS;1
Mujer;69-78;ESPAÑOLA;23/04/2010;-;Desempleado/a;200-N NS/NC;SAN BLAS - CANILLEJAS;ROSAS;1
Mujer;86-95;ESPAÑOLA;04/04/2011;-;Jubilado/a;02-A EGB/Graduado Escolar;PUENTE DE VALLECAS;SAN DIEGO;1
Mujer;46-55;ESPAÑOLA;17/08/2015;-;Trabajando;04-A FP;OTROS;OTROS;1
Varón;36-45;ESPAÑOLA;02/11/2017;-;Trabajando;08-A Licenciado Universitario;USERA;PRADOLONGO;1
Mujer;87-96;ESPAÑOLA;06/11/2008;-;Jubilado/a;08-A Licenciado Universitario;CHAMBERI;ALMAGRO;1
Mujer;16-25;ESPAÑOLA;14/03/2023;-;Estudiando;02-A EGB/Graduado Escolar;VILLAVERDE;LOS ROSALES;1
Varón;89-98;ESPAÑOLA;16/06/2008;30/09/2020;Jubilado/a;200-N NS/NC;VILLAVERDE;SAN CRISTOBAL;1
Mujer;34-43;ESPAÑOLA;23/07/2014;-;Trabajando;106-N Licenciado Universitario;OTROS;OTROS;1
Varón;43-52;ESPAÑOLA;01/07/2019;-;Trabajando;200-N NS/NC;LATINA;LAS AGUILAS;1
Varón;49-58;ESPAÑOLA;03/12/2020;-;Trabajando;03-A BUP/Bachillerato;ARGANZUELA;IMPERIAL;1
Mujer;41-50;COLOMBIANA;20/04/2021;-;Desempleado/a;103-N Ciclo Formativo Grado Medio;LATINA;PUERTA DEL ANGEL;1
Mujer;77-86;ESPAÑOLA;25/01/2010;-;Jubilado/a;03-A BUP/Bachillerato;LATINA;PUERTA DEL ANGEL;1
Varón;>90;ESPAÑOLA;26/04/2017;-;-;200-N NS/NC;VILLAVERDE;VILLAVERDE ALTO C.H.;1
Mujer;36-45;ESPAÑOLA;16/12/2019;-;Trabajando;08-A Licenciado Universitario;CENTRO;CORTES;1
Varón;75-84;ESPAÑOLA;23/07/2008;-;Jubilado/a;05-A COU;CHAMARTIN;EL VISO;1
Varón;26-35;ESPAÑOLA;29/09/2020;-;-;106-N Licenciado Universitario;HORTALEZA;VALDEFUENTES;1
Varón;56-65;ESPAÑOLA;01/07/2009;-;Trabajando;200-N NS/NC;USERA;ORCASUR;1
Varón;24-33;ESPAÑOLA;12/06/2019;-;Estudiando;08-A Licenciado Universitario;CHAMBERI;VALLEHERMOSO;1
Varón;56-65;ESPAÑOLA;07/12/2010;-;-;200-N NS/NC;OTROS;OTROS;1
Varón;77-86;ESPAÑOLA;24/09/2014;-;Jubilado/a;200-N NS/NC;MORATALAZ;VINATEROS;1
Mujer;71-80;ESPAÑOLA;14/01/2022;-;Jubilado/a;08-A Licenciado Universitario;RETIRO;ADELFAS;1
Mujer;31-40;ESPAÑOLA;01/10/2020;-;Otra situación;03-A BUP/Bachillerato;CARABANCHEL;OPAÑEL;1
Varón;36-45;ESPAÑOLA;21/02/2022;-;-;08-A Licenciado Universitario;CARABANCHEL;COMILLAS;1
Mujer;28-37;ESPAÑOLA;27/10/2014;-;Estudiando;106-N Licenciado Universitario;SALAMANCA;FUENTE DEL BERRO;1
Varón;87-96;ESPAÑOLA;26/05/2023;-;-;-;CARABANCHEL;PUERTA BONITA;1
Varón;31-40;ESPAÑOLA;18/09/2017;-;Desempleado/a;-;ARGANZUELA;PALOS DE LA FRONTERA;1
Varón;71-80;ESPAÑOLA;19/12/2016;-;Jubilado/a;08-A Licenciado Universitario;ARGANZUELA;CHOPERA;1
Mujer;38-47;ESPAÑOLA;13/07/2007;-;Trabajando;08-A Licenciado Universitario;CARABANCHEL;ABRANTES;1
Varón;68-77;COLOMBIANA;22/03/2016;-;Trabajando;08-A Licenciado Universitario;SAN BLAS - CANILLEJAS;CANILLEJAS;1
Varón;55-64;ESPAÑOLA;22/01/2015;-;Trabajando;03-A BUP/Bachillerato;USERA;MOSCARDO;1
Mujer;33-42;MEXICANA;10/05/2019;-;Trabajando;08-A Licenciado Universitario;SALAMANCA;FUENTE DEL BERRO;1
Mujer;22-31;ESPAÑOLA;06/02/2023;-;Estudiando;08-A Licenciado Universitario;CHAMBERI;GAZTAMBIDE;1
Mujer;28-37;ESPAÑOLA;30/09/2014;-;Trabajando;200-N NS/NC;TETUAN;ALMENARA;1
Mujer;39-48;BRASILEÑA;11/01/2022;-;Estudiando;08-A Licenciado Universitario;LATINA;PUERTA DEL ANGEL;1
Mujer;55-64;ESPAÑOLA;18/10/2022;-;Trabajando;04-A FP;RETIRO;IBIZA;1
Mujer;74-83;ESPAÑOLA;04/02/2016;-;-;200-N NS/NC;CIUDAD LINEAL;QUINTANA;1
Mujer;54-63;ESPAÑOLA;16/08/2010;-;Trabajando;200-N NS/NC;CARABANCHEL;PUERTA BONITA;1
Mujer;39-48;ESPAÑOLA;28/03/2011;-;Trabajando;105-N Diplomado Universitario;CIUDAD LINEAL;CONCEPCION;1
Varón;66-75;ESPAÑOLA;03/02/2014;-;Desempleado/a;06-A Módulo Profesional;HORTALEZA;PINAR DEL REY;1
Mujer;46-55;ESPAÑOLA;18/03/2004;-;Trabajando;08-A Licenciado Universitario;CHAMARTIN;HISPANOAMERICA;1
Mujer;59-68;ESPAÑOLA;26/03/2012;-;-;07-A Diplomado Universitario;OTROS;OTROS;1
Mujer;22-31;VENEZOLANA;28/02/2023;-;Desempleado/a;03-A BUP/Bachillerato;CENTRO;EMBAJADORES;1
Mujer;30-39;ESPAÑOLA;19/12/2019;-;-;-;OTROS;OTROS;1
Mujer;61-70;ESPAÑOLA;17/02/2021;31/01/2023;Trabajando;08-A Licenciado Universitario;RETIRO;PACIFICO;1
Varón;32-41;ESPAÑOLA;04/03/2010;30/10/2020;Estudiando;200-N NS/NC;CIUDAD LINEAL;QUINTANA;1
Mujer;81-90;ESPAÑOLA;11/11/2021;-;Jubilado/a;08-A Licenciado Universitario;ARGANZUELA;DELICIAS;1
Mujer;68-77;ESPAÑOLA;19/09/2016;-;-;08-A Licenciado Universitario;CHAMARTIN;NUEVA ESPAÑA;1
Mujer;49-58;ESPAÑOLA;17/06/2008;-;Trabajando;07-A Diplomado Universitario;FUENCARRAL-EL PARDO;LA PAZ;1
Varón;>90;NO IDENTIFICADO;29/12/2011;-;-;200-N NS/NC;ARGANZUELA;CHOPERA;1
Varón;59-68;ESPAÑOLA;21/09/2004;-;Trabajando;04-A FP;VILLAVERDE;LOS ROSALES;1
Mujer;57-66;ESPAÑOLA;12/04/2017;-;Desempleado/a;106-N Licenciado Universitario;CIUDAD LINEAL;SAN PASCUAL;1
Mujer;22-31;ESPAÑOLA;19/09/2019;-;Estudiando;106-N Licenciado Universitario;OTROS;OTROS;1
Mujer;40-49;ESPAÑOLA;04/02/2016;-;Trabajando;08-A Licenciado Universitario;FUENCARRAL-EL PARDO;VALVERDE;1
Varón;49-58;SALVADOREÑA;27/03/2009;22/03/2023;Trabajando;08-A Licenciado Universitario;PUENTE DE VALLECAS;PORTAZGO;1
Varón;74-83;ESPAÑOLA;21/03/2012;-;Jubilado/a;200-N NS/NC;VILLAVERDE;LOS ANGELES;1
Varón;84-93;ESPAÑOLA;25/09/2014;-;-;200-N NS/NC;MORATALAZ;MARROQUINA;1
Mujer;18-27;ESPAÑOLA;22/06/2022;-;Estudiando;03-A BUP/Bachillerato;ARGANZUELA;IMPERIAL;1
Mujer;25-34;ESPAÑOLA;16/03/2018;-;Desempleado/a;106-N Licenciado Universitario;PUENTE DE VALLECAS;PALOMERAS BAJAS;1
Mujer;75-84;ESPAÑOLA;30/03/2015;30/11/2022;-;200-N NS/NC;SALAMANCA;GUINDALERA;1
Varón;40-49;ESPAÑOLA;06/06/2013;-;Trabajando;07-A Diplomado Universitario;OTROS;OTROS;1
Varón;64-73;ESPAÑOLA;14/10/2010;22/03/2023;-;200-N NS/NC;CENTRO;EMBAJADORES;1
Mujer;70-79;ESPAÑOLA;01/07/2011;-;Trabajando;08-A Licenciado Universitario;CHAMARTIN;HISPANOAMERICA;1
Mujer;64-73;ESPAÑOLA;28/09/2015;-;Trabajando;08-A Licenciado Universitario;CENTRO;CORTES;1
Varón;30-39;ARGENTINA;06/03/2020;-;Otra situación;-;VICALVARO;VALDEBERNARDO;1
Mujer;44-53;BOLIVIANA;28/07/2009;-;Desempleado/a;03-A BUP/Bachillerato;OTROS;OTROS;1
Mujer;88-97;ESPAÑOLA;11/03/2016;-;Jubilado/a;200-N NS/NC;RETIRO;ESTRELLA;1
Varón;60-69;ESPAÑOLA;16/06/2022;-;Trabajando;106-N Licenciado Universitario;MONCLOA-ARAVACA;ARAVACA;1
Varón;21-30;ESPAÑOLA;30/08/2021;-;-;-;OTROS;OTROS;1
Varón;73-82;ESPAÑOLA;10/10/2014;-;Desempleado/a;200-N NS/NC;LATINA;LUCERO;1
Mujer;37-46;ESPAÑOLA;22/11/2010;-;Desempleado/a;105-N Diplomado Universitario;LATINA;ALUCHE;1
Mujer;81-90;ESPAÑOLA;06/02/2012;-;-;08-A Licenciado Universitario;RETIRO;IBIZA;1
Mujer;85-94;ESPAÑOLA;23/11/2018;-;Jubilado/a;-;CIUDAD LINEAL;QUINTANA;1
Mujer;35-44;ESTADO UNIDENSE;29/11/2010;31/10/2019;Trabajando;106-N Licenciado Universitario;CENTRO;EMBAJADORES;1
Varón;65-74;ESPAÑOLA;28/09/2022;-;-;-;MONCLOA-ARAVACA;ARAVACA;1
Mujer;35-44;ESPAÑOLA;26/09/2006;-;Trabajando;08-A Licenciado Universitario;BARAJAS;TIMON;1
Mujer;79-88;ESPAÑOLA;19/12/2022;-;Jubilado/a;-;CIUDAD LINEAL;VENTAS;1
Mujer;52-61;ESPAÑOLA;23/07/2007;-;Desempleado/a;03-A BUP/Bachillerato;ARGANZUELA;PALOS DE LA FRONTERA;1
Varón;19-28;ESPAÑOLA;02/03/2023;-;Estudiando;-;SAN BLAS - CANILLEJAS;CANILLEJAS;1
Mujer;25-34;OTRA;05/11/2018;-;-;08-A Licenciado Universitario;ARGANZUELA;PALOS DE LA FRONTERA;1
Varón;44-53;ESPAÑOLA;17/05/2012;-;-;08-A Licenciado Universitario;CIUDAD LINEAL;QUINTANA;1
Varón;28-37;ESPAÑOLA;26/07/2012;-;Estudiando;101-N ESO Educación Secundaria;CARABANCHEL;VISTA ALEGRE;1
Varón;36-45;ESPAÑOLA;26/02/2021;-;Trabajando;08-A Licenciado Universitario;CARABANCHEL;OPAÑEL;1
Mujer;35-44;BRASILEÑA;24/05/2018;-;Trabajando;04-A FP;OTROS;OTROS;1
Mujer;29-38;ESPAÑOLA;26/02/2021;-;Desempleado/a;105-N Diplomado Universitario;HORTALEZA;CANILLAS;1
Mujer;39-48;ESPAÑOLA;01/04/2019;30/12/2020;Desempleado/a;106-N Licenciado Universitario;TETUAN;CUATRO CAMINOS;1
Mujer;58-67;ESPAÑOLA;18/02/2020;-;Desempleado/a;06-A Módulo Profesional;LATINA;PUERTA DEL ANGEL;1
Mujer;50-59;FRANCESA;01/02/2017;-;Trabajando;08-A Licenciado Universitario;CARABANCHEL;COMILLAS;1
Varón;56-65;ESPAÑOLA;10/07/2014;-;Desempleado/a;05-A COU;USERA;SAN FERMIN;1
Mujer;47-56;ESPAÑOLA;12/04/2019;-;Trabajando;08-A Licenciado Universitario;ARGANZUELA;PALOS DE LA FRONTERA;1
Mujer;38-47;ESPAÑOLA;10/02/2010;-;Trabajando;08-A Licenciado Universitario;OTROS;OTROS;1
Mujer;73-82;ESPAÑOLA;21/09/2010;-;Trabajando;200-N NS/NC;HORTALEZA;PINAR DEL REY;1
Mujer;18-27;ESPAÑOLA;26/07/2022;-;Estudiando;102-N Bachillerato;CHAMARTIN;CASTILLA;1
Mujer;56-65;ESPAÑOLA;16/12/2010;-;Trabajando;08-A Licenciado Universitario;OTROS;OTROS;1
Varón;54-63;ESPAÑOLA;04/10/2022;-;Otra situación;02-A EGB/Graduado Escolar;PUENTE DE VALLECAS;PALOMERAS BAJAS;1
Mujer;50-59;ESPAÑOLA;03/11/2016;-;Desempleado/a;08-A Licenciado Universitario;SAN BLAS - CANILLEJAS;REJAS;1
Varón;81-90;ESPAÑOLA;01/03/2013;22/03/2023;-;106-N Licenciado Universitario;CIUDAD LINEAL;COSTILLARES;1
Mujer;45-54;ESPAÑOLA;17/06/2008;-;Trabajando;07-A Diplomado Universitario;OTROS;OTROS;1
Mujer;52-61;ESPAÑOLA;27/05/2010;-;Trabajando;03-A BUP/Bachillerato;CARABANCHEL;VISTA ALEGRE;1
Varón;48-57;ESPAÑOLA;02/11/2022;-;-;-;CENTRO;EMBAJADORES;1
Mujer;20-29;ESPAÑOLA;24/06/2021;-;Estudiando;03-A BUP/Bachillerato;LATINA;LAS AGUILAS;1
Varón;30-39;ESPAÑOLA;06/08/2012;-;Desempleado/a;03-A BUP/Bachillerato;CENTRO;CORTES;1
Mujer;32-41;ESPAÑOLA;21/03/2011;-;Estudiando;105-N Diplomado Universitario;CARABANCHEL;SAN ISIDRO;1
Mujer;29-38;ESPAÑOLA;12/06/2014;-;Trabajando;102-N Bachillerato;OTROS;OTROS;1
Mujer;61-70;ESPAÑOLA;23/10/2008;-;Desempleado/a;07-A Diplomado Universitario;CARABANCHEL;OPAÑEL;1
Mujer;52-61;ESPAÑOLA;17/03/2021;-;-;03-A BUP/Bachillerato;ARGANZUELA;PALOS DE LA FRONTERA;1
Varón;55-64;ESPAÑOLA;01/03/2012;-;Desempleado/a;02-A EGB/Graduado Escolar;OTROS;OTROS;1
Mujer;47-56;ESPAÑOLA;06/10/2008;-;Trabajando;200-N NS/NC;HORTALEZA;PINAR DEL REY;1
Varón;35-44;PAKISTANÍ;04/12/2017;-;Trabajando;08-A Licenciado Universitario;TETUAN;BERRUGUETE;1
Varón;41-50;ESPAÑOLA;19/01/2016;-;-;04-A FP;VILLA DE VALLECAS;SANTA EUGENIA;1
Varón;33-42;ESPAÑOLA;21/09/2012;-;Estudiando;105-N Diplomado Universitario;LATINA;ALUCHE;1
Mujer;35-44;ESPAÑOLA;15/06/2016;-;Desempleado/a;07-A Diplomado Universitario;CIUDAD LINEAL;CONCEPCION;1
Varón;49-58;ESPAÑOLA;14/01/2019;-;Desempleado/a;-;HORTALEZA;CANILLAS;1
Varón;50-59;MEXICANA;15/10/2014;-;-;200-N NS/NC;OTROS;OTROS;1
Mujer;21-30;ESPAÑOLA;24/11/2020;-;Estudiando;102-N Bachillerato;OTROS;OTROS;1
Varón;44-53;ESPAÑOLA;01/06/2011;29/01/2021;Trabajando;02-A EGB/Graduado Escolar;USERA;ORCASITAS;1
Varón;76-85;ESPAÑOLA;12/08/2010;-;-;200-N NS/NC;RETIRO;PACIFICO;1
Varón;51-60;VENEZOLANA;13/12/2022;-;Trabajando;08-A Licenciado Universitario;OTROS;OTROS;1
Mujer;75-84;ESPAÑOLA;24/03/2010;31/03/2022;Jubilado/a;200-N NS/NC;RETIRO;PACIFICO;1
Varón;76-85;ESPAÑOLA;09/03/2017;-;Jubilado/a;200-N NS/NC;PUENTE DE VALLECAS;PORTAZGO;1
Mujer;29-38;ESPAÑOLA;19/01/2017;-;Trabajando;106-N Licenciado Universitario;VILLAVERDE;LOS ANGELES;1
Varón;24-33;PERUANA;25/08/2022;-;Estudiando;102-N Bachillerato;OTROS;OTROS;1
Mujer;48-57;ESPAÑOLA;02/07/2019;-;Trabajando;08-A Licenciado Universitario;HORTALEZA;VALDEFUENTES;1
Varón;63-72;ESPAÑOLA;24/02/2023;-;Jubilado/a;02-A EGB/Graduado Escolar;VILLA DE VALLECAS;CASCO H.VALLECAS;1
Varón;69-78;ESPAÑOLA;08/09/2022;-;-;-;CIUDAD LINEAL;PUEBLO NUEVO;1
Varón;54-63;ESPAÑOLA;09/03/2018;-;-;-;FUENCARRAL-EL PARDO;PEÑA GRANDE;1
Mujer;30-39;ESPAÑOLA;27/07/2017;-;Trabajando;106-N Licenciado Universitario;OTROS;OTROS;1
Varón;38-47;ESPAÑOLA;08/11/2013;-;Trabajando;101-N ESO Educación Secundaria;USERA;MOSCARDO;1
Varón;73-82;ESPAÑOLA;09/03/2022;22/03/2023;-;-;RETIRO;ESTRELLA;1
Mujer;26-35;ESPAÑOLA;13/02/2018;-;Estudiando;106-N Licenciado Universitario;CENTRO;EMBAJADORES;2
Varón;52-61;ESPAÑOLA;24/10/2008;-;Trabajando;08-A Licenciado Universitario;SALAMANCA;CASTELLANA;1
