SECUENCIA;COD_AREA;DENOMINACION_AREA;COD_ORGANO_DIRECTIVO;DENOMINACION_ORGANO_DIRECTIVO;COD_GRUPO_PERSONAL;DESC__GRUPO_PERSONAL;COD_GRUPO_TITULACION;DESC_GRUPO_TITULACION;COD_CATEGORIA;DESC_CATEGORIA;COD_SEXO;DESC_SEXO;RANGO_EDAD;TOTAL_PERSONAS;MES_DATOS;ANIO_DATOS;FX_CARGA;FX_DATOS_INI;FX_DATOS_FIN
"255";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"F";"Funcionario";"A1";"Doctor,Licenciado,Arquitecto,Ingeniero o Equivalente";"A002";"GRUPO A1 OTRAS ADMINISTRACIONES                            ";"M";"Mujer";"30 - 34";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"256";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"F";"Funcionario";"A1";"Doctor,Licenciado,Arquitecto,Ingeniero o Equivalente";"A002";"GRUPO A1 OTRAS ADMINISTRACIONES                            ";"H";"Hombre";"35 - 39";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"257";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"F";"Funcionario";"A1";"Doctor,Licenciado,Arquitecto,Ingeniero o Equivalente";"A600";"TECNICO ADMINISTRACION GENERAL                              ";"M";"Mujer";"60 - 64";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"258";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"F";"Funcionario";"A1";"Doctor,Licenciado,Arquitecto,Ingeniero o Equivalente";"A635";"TECNICO SUPERIOR                                            ";"M";"Mujer";"40 - 44";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"259";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"F";"Funcionario";"A1";"Doctor,Licenciado,Arquitecto,Ingeniero o Equivalente";"A645";"ARQUITECTO SUPERIOR                                         ";"M";"Mujer";"45 - 49";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"260";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"F";"Funcionario";"A2";"Ing.Técnico,Diplomado Universitario,Arquitecto Técnico,F";"B015";"DIPLOMADO EN TRABAJOS SOCIALES                              ";"M";"Mujer";"45 - 49";2;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"261";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"F";"Funcionario";"A2";"Ing.Técnico,Diplomado Universitario,Arquitecto Técnico,F";"B015";"DIPLOMADO EN TRABAJOS SOCIALES                              ";"M";"Mujer";"60 - 64";2;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"262";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"F";"Funcionario";"A2";"Ing.Técnico,Diplomado Universitario,Arquitecto Técnico,F";"B030";"ARQUITECTO TECNICO                                          ";"H";"Hombre";"55 - 59";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"263";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"F";"Funcionario";"A2";"Ing.Técnico,Diplomado Universitario,Arquitecto Técnico,F";"B035";"INGENIERO TECNICO                                           ";"H";"Hombre";"55 - 59";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"264";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"F";"Funcionario";"A2";"Ing.Técnico,Diplomado Universitario,Arquitecto Técnico,F";"B065";"INSPECTOR TECNICO DE CALIDAD Y CONSUMO                      ";"M";"Mujer";"60 - 64";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"265";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"F";"Funcionario";"A2";"Ing.Técnico,Diplomado Universitario,Arquitecto Técnico,F";"B070";"TECNICO DE GESTION                                          ";"H";"Hombre";"60 - 64";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"266";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"F";"Funcionario";"C1";"Bachillerato,B.U.P.,F.P. 2º grado";"C005";"ADMINISTRATIVO                                              ";"M";"Mujer";"40 - 44";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"267";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"F";"Funcionario";"C1";"Bachillerato,B.U.P.,F.P. 2º grado";"C005";"ADMINISTRATIVO                                              ";"M";"Mujer";"50 - 54";3;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"268";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"F";"Funcionario";"C1";"Bachillerato,B.U.P.,F.P. 2º grado";"C005";"ADMINISTRATIVO                                              ";"M";"Mujer";"60 - 64";5;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"269";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"F";"Funcionario";"C2";"Graduado Escolar,F.P. de 1º grado";"D005";"AUXILIAR ADMINISTRATIVO                                     ";"M";"Mujer";"35 - 39";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"270";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"F";"Funcionario";"C2";"Graduado Escolar,F.P. de 1º grado";"D065";"OFICIAL EDIFICIOS Y DEPENDENCIAS                            ";"M";"Mujer";"50 - 54";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"271";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"F";"Funcionario";"C2";"Graduado Escolar,F.P. de 1º grado";"D065";"OFICIAL EDIFICIOS Y DEPENDENCIAS                            ";"H";"Hombre";"55 - 59";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"272";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"F";"Funcionario";"C2";"Graduado Escolar,F.P. de 1º grado";"D100";"OFICIAL MECANICO CONDUCTOR                                  ";"H";"Hombre";"55 - 59";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"273";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"F";"Funcionario";"E";"Certificado de Escolaridad";"E050";"PERSONAL OFICIOS SERVICIOS INTERNOS                         ";"H";"Hombre";"60 - 64";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"274";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"I";"Funcionario Interino";"A1";"Doctor,Licenciado,Arquitecto,Ingeniero o Equivalente";"A600";"TECNICO ADMINISTRACION GENERAL                              ";"H";"Hombre";"40 - 44";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"275";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"I";"Funcionario Interino";"A2";"Ing.Técnico,Diplomado Universitario,Arquitecto Técnico,F";"B015";"DIPLOMADO EN TRABAJOS SOCIALES                              ";"M";"Mujer";"55 - 59";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"276";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"I";"Funcionario Interino";"A2";"Ing.Técnico,Diplomado Universitario,Arquitecto Técnico,F";"B065";"INSPECTOR TECNICO DE CALIDAD Y CONSUMO                      ";"M";"Mujer";"55 - 59";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"277";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"I";"Funcionario Interino";"A2";"Ing.Técnico,Diplomado Universitario,Arquitecto Técnico,F";"B070";"TECNICO DE GESTION                                          ";"H";"Hombre";"35 - 39";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"278";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"I";"Funcionario Interino";"C1";"Bachillerato,B.U.P.,F.P. 2º grado";"C005";"ADMINISTRATIVO                                              ";"M";"Mujer";"35 - 39";2;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"279";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"L";"Laboral Fijo";"A2";"Ing.Técnico,Diplomado Universitario,Arquitecto Técnico,F";"B025";"MAESTRO                                                     ";"M";"Mujer";"65 - 69";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"280";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"L";"Laboral Fijo";"A2";"Ing.Técnico,Diplomado Universitario,Arquitecto Técnico,F";"WB04";"ENFERMERA/O";"M";"Mujer";"45 - 49";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"281";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"L";"Laboral Fijo";"A2";"Ing.Técnico,Diplomado Universitario,Arquitecto Técnico,F";"WB04";"ENFERMERA/O";"H";"Hombre";"60 - 64";2;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"282";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"L";"Laboral Fijo";"A2";"Ing.Técnico,Diplomado Universitario,Arquitecto Técnico,F";"WB05";"FISIOTERAPEUTA";"M";"Mujer";"45 - 49";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"283";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"L";"Laboral Fijo";"A2";"Ing.Técnico,Diplomado Universitario,Arquitecto Técnico,F";"WB16";"RESPONSABLE OPERATIVO INSTALACION";"H";"Hombre";"55 - 59";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"284";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"L";"Laboral Fijo";"A2";"Ing.Técnico,Diplomado Universitario,Arquitecto Técnico,F";"WB16";"RESPONSABLE OPERATIVO INSTALACION";"H";"Hombre";"65 - 69";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"285";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"L";"Laboral Fijo";"C1";"Bachillerato,B.U.P.,F.P. 2º grado";"WC15";"JEFE DE NEGOCIADO";"M";"Mujer";"60 - 64";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"286";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"L";"Laboral Fijo";"C1";"Bachillerato,B.U.P.,F.P. 2º grado";"WC16";"MONITOR DEPORTIVO";"M";"Mujer";"55 - 59";3;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"287";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"L";"Laboral Fijo";"C1";"Bachillerato,B.U.P.,F.P. 2º grado";"WC27";"TECNICO DE MANTENIMIENTO 1";"H";"Hombre";"40 - 44";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"288";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"L";"Laboral Fijo";"C2";"Graduado Escolar,F.P. de 1º grado";"WD06";"AUXILIAR ADMINISTRATIVO-TAQUILLERO";"H";"Hombre";"55 - 59";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"289";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"L";"Laboral Fijo";"E";"Certificado de Escolaridad";"WE04";"OPERARIO 1";"H";"Hombre";"60 - 64";6;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"290";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"R";"Directivos";"X";"Sin grupo de titulación";"AD01";"ORGANO DIRECTIVO                                            ";"H";"Hombre";"65 - 69";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"291";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"D";"Laboral indefinido";"C2";"Graduado Escolar,F.P. de 1º grado";"WD06";"AUXILIAR ADMINISTRATIVO-TAQUILLERO";"M";"Mujer";"60 - 64";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"292";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"T";"Laboral Temporal";"A1";"Doctor,Licenciado,Arquitecto,Ingeniero o Equivalente";"WA25";"MEDICO";"H";"Hombre";"65 - 69";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"293";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"T";"Laboral Temporal";"A1";"Doctor,Licenciado,Arquitecto,Ingeniero o Equivalente";"WA26";"PREPARADOR FISICO";"H";"Hombre";"50 - 54";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"294";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"T";"Laboral Temporal";"A2";"Ing.Técnico,Diplomado Universitario,Arquitecto Técnico,F";"B025";"MAESTRO                                                     ";"M";"Mujer";"60 - 64";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"295";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"T";"Laboral Temporal";"A2";"Ing.Técnico,Diplomado Universitario,Arquitecto Técnico,F";"WB16";"RESPONSABLE OPERATIVO INSTALACION";"H";"Hombre";"45 - 49";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"296";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"T";"Laboral Temporal";"C1";"Bachillerato,B.U.P.,F.P. 2º grado";"WC03";"ADMINISTRATIVO 2";"H";"Hombre";"55 - 59";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"297";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"T";"Laboral Temporal";"C1";"Bachillerato,B.U.P.,F.P. 2º grado";"WC16";"MONITOR DEPORTIVO";"M";"Mujer";"25 - 29";2;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"298";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"T";"Laboral Temporal";"C1";"Bachillerato,B.U.P.,F.P. 2º grado";"WC16";"MONITOR DEPORTIVO";"M";"Mujer";"40 - 44";2;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"299";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"T";"Laboral Temporal";"C1";"Bachillerato,B.U.P.,F.P. 2º grado";"WC16";"MONITOR DEPORTIVO";"H";"Hombre";"40 - 44";5;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"300";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"T";"Laboral Temporal";"C1";"Bachillerato,B.U.P.,F.P. 2º grado";"WC18";"MONITOR DEPORTIVO S.O.S.";"H";"Hombre";"45 - 49";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"301";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"T";"Laboral Temporal";"C1";"Bachillerato,B.U.P.,F.P. 2º grado";"WC27";"TECNICO DE MANTENIMIENTO 1";"M";"Mujer";"45 - 49";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"302";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"T";"Laboral Temporal";"C1";"Bachillerato,B.U.P.,F.P. 2º grado";"WC27";"TECNICO DE MANTENIMIENTO 1";"H";"Hombre";"30 - 34";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"303";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"T";"Laboral Temporal";"C1";"Bachillerato,B.U.P.,F.P. 2º grado";"WC27";"TECNICO DE MANTENIMIENTO 1";"H";"Hombre";"55 - 59";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"304";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"T";"Laboral Temporal";"C2";"Graduado Escolar,F.P. de 1º grado";"WD06";"AUXILIAR ADMINISTRATIVO-TAQUILLERO";"M";"Mujer";"45 - 49";3;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"305";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"T";"Laboral Temporal";"C2";"Graduado Escolar,F.P. de 1º grado";"WD06";"AUXILIAR ADMINISTRATIVO-TAQUILLERO";"H";"Hombre";"25 - 29";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"306";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"T";"Laboral Temporal";"C2";"Graduado Escolar,F.P. de 1º grado";"WD06";"AUXILIAR ADMINISTRATIVO-TAQUILLERO";"H";"Hombre";"45 - 49";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"307";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"T";"Laboral Temporal";"E";"Certificado de Escolaridad";"E050";"PERSONAL OFICIOS SERVICIOS INTERNOS                         ";"M";"Mujer";"50 - 54";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"308";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"T";"Laboral Temporal";"E";"Certificado de Escolaridad";"WE04";"OPERARIO 1";"M";"Mujer";"50 - 54";4;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"309";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"T";"Laboral Temporal";"E";"Certificado de Escolaridad";"WE04";"OPERARIO 1";"H";"Hombre";"30 - 34";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"310";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"T";"Laboral Temporal";"E";"Certificado de Escolaridad";"WE04";"OPERARIO 1";"H";"Hombre";"55 - 59";2;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"311";"10000003";"Distrito de Arganzuela                                                          ";" ";"";"E";"Eventual";"X";"Sin grupo de titulación";"A000";"PERSONAL EVENTUAL                                           ";"H";"Hombre";"40 - 44";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"312";"10000003";"Distrito de Arganzuela                                                          ";" ";"";"F";"Funcionario";"C2";"Graduado Escolar,F.P. de 1º grado";"D005";"AUXILIAR ADMINISTRATIVO                                     ";"M";"Mujer";"50 - 54";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"313";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"F";"Funcionario";"A1";"Doctor,Licenciado,Arquitecto,Ingeniero o Equivalente";"A635";"TECNICO SUPERIOR                                            ";"M";"Mujer";"60 - 64";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"314";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"F";"Funcionario";"A1";"Doctor,Licenciado,Arquitecto,Ingeniero o Equivalente";"A645";"ARQUITECTO SUPERIOR                                         ";"M";"Mujer";"40 - 44";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"315";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"F";"Funcionario";"A1";"Doctor,Licenciado,Arquitecto,Ingeniero o Equivalente";"A660";"INGENIERO SUPERIOR                                          ";"M";"Mujer";"30 - 34";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"316";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"F";"Funcionario";"A2";"Ing.Técnico,Diplomado Universitario,Arquitecto Técnico,F";"B015";"DIPLOMADO EN TRABAJOS SOCIALES                              ";"M";"Mujer";"55 - 59";3;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"317";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"F";"Funcionario";"A2";"Ing.Técnico,Diplomado Universitario,Arquitecto Técnico,F";"B035";"INGENIERO TECNICO                                           ";"M";"Mujer";"45 - 49";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"318";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"F";"Funcionario";"A2";"Ing.Técnico,Diplomado Universitario,Arquitecto Técnico,F";"B035";"INGENIERO TECNICO                                           ";"H";"Hombre";"65 - 69";2;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"319";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"F";"Funcionario";"C1";"Bachillerato,B.U.P.,F.P. 2º grado";"C005";"ADMINISTRATIVO                                              ";"H";"Hombre";"55 - 59";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"320";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"F";"Funcionario";"C2";"Graduado Escolar,F.P. de 1º grado";"D005";"AUXILIAR ADMINISTRATIVO                                     ";"M";"Mujer";"55 - 59";5;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"321";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"F";"Funcionario";"C2";"Graduado Escolar,F.P. de 1º grado";"D050";"AUXILIAR SERVICIOS SOCIALES                                 ";"H";"Hombre";"55 - 59";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
